County,Male,Female,Intersex,Total,M_F_Ratio_per_100,NumberOfHouseholds,AverageHouseholdSize,Population,LandArea(in Sq. Km),Population Density(No. per Sq. Km),share_land_area,MPO_Total_Perc,UoI_Total_Perc,StandAloneRadio,FunctionalTV,Car
Kenya,23548056,24014716,1524,47564296,98,12143913,3.9,47564296,580876.3,82,100,47.3,22.6,56.9,40.7,6.3
Mombasa,610257,598046,30,1208333,102,378422,3.1,1208333,219.9,5495,0.038,61.8,39.2,47.4,57.2,6.8
Kwale,425121,441681,18,866820,96,173176,5,866820,8267.1,105,1.423,36.7,12.4,42.6,23.1,2.3
Kilifi,704089,749673,25,1453787,94,298472,4.8,1453787,12539.7,116,2.159,39.4,15.1,37.8,25.9,2.8
Tana River,158550,157391,2,315943,101,68242,4.6,315943,37950.5,8,6.533,31.6,8.9,28.4,15.3,1.6
Lamu,76103,67813,4,143920,112,37963,3.7,143920,6253.3,23,1.077,45.2,19.4,37.3,30.8,1.4
Taita Taveta,173337,167327,7,340671,104,96429,3.5,340671,17152,20,2.953,54.9,23.9,55.9,38.6,3.5
Garissa,458975,382344,34,841353,120,141394,5.9,841353,44736,19,7.701,30.3,12.2,47.8,12.9,4.1
Wajir,415374,365840,49,781263,114,127932,6.1,781263,56773.1,14,9.774,27.9,8.3,54.2,6.6,2.5
Mandera,434976,432444,37,867457,101,125763,6.9,867457,25939.8,33,4.466,25.3,7.8,45,8.3,3
Marsabit,243548,216219,18,459785,113,77495,5.8,459785,70944.1,6,12.213,29,8.3,27.8,14.7,2.2
Isiolo,139510,128483,9,268002,109,58072,4.6,268002,25350.6,11,4.364,38.2,14.2,39.1,26.8,4
Meru,767698,777975,41,1545714,99,426360,3.6,1545714,7006.3,221,1.206,50.3,19.3,53.4,34.5,5.2
Tharaka Nithi,193764,199406,7,393177,97,109860,3.6,393177,2564.4,153,0.441,51.3,18.8,58.4,29.8,5
Embu,304208,304367,24,608599,100,182743,3.3,608599,2820.7,216,0.486,57,22.1,62.9,42,6.6
Kitui,549003,587151,33,1136187,94,262942,4.3,1136187,30429.5,37,5.239,42.9,13.6,55.1,19.5,3.7
Machakos,710707,711191,34,1421932,100,402466,3.5,1421932,6042.7,235,1.04,56.4,25.8,63.1,42.6,8.7
Makueni,489691,497942,20,987653,98,244669,4,987653,8169.8,121,1.406,49,16.1,62.7,24.5,4.5
Nyandarua,315022,323247,20,638289,97,179686,3.5,638289,3285.7,194,0.566,55,20.6,72.4,48.9,5.4
Nyeri,374288,384845,31,759164,97,248050,3,759164,3325,228,0.572,64.1,29.9,74.3,59.5,7.7
Kirinyaga,302011,308369,31,610411,98,204188,3,610411,1478.3,413,0.254,61.3,24.1,66.6,54,6
Murang'a,523940,532669,31,1056640,98,318105,3.3,1056640,2524.2,419,0.435,57.4,20.7,70.7,47.9,5
Kiambu,1187146,1230454,135,2417735,96,795241,3,2417735,2538.6,952,0.437,66,42.7,61.4,70,12.4
Turkana,478087,448868,21,926976,107,164519,5.6,926976,68232.9,14,11.747,16.6,6.9,12.1,7.4,1.3
West Pokot,307013,314213,15,621241,98,116182,5.3,621241,9123.2,68,1.571,21.1,8.1,33.8,9.7,1.6
Samburu,156774,153546,7,310327,102,65910,4.7,310327,21065.1,15,3.626,27.2,9.7,29.4,13.5,2.6
Trans Nzoia,489107,501206,28,990341,98,223808,4.4,990341,2495.2,397,0.43,40.4,16.9,57.3,34.3,4.9
Uasin Gishu,580269,582889,28,1163186,100,304943,3.8,1163186,3392.2,343,0.584,51.4,28,60.1,47.3,8.5
Elgeyo Marakwet,227317,227151,12,454480,100,99861,4.5,454480,3032,150,0.522,37.6,14.2,52.7,17.5,3.1
Nandi,441259,444430,22,885711,99,199426,4.4,885711,2855.8,310,0.492,42.5,17.1,60.3,27.1,4.4
Baringo,336322,330428,13,666763,102,142518,4.7,666763,10976.4,61,1.89,35,15.3,51.8,23,4.1
Laikipia,259440,259102,18,518560,100,149271,3.4,518560,9532.2,54,1.641,51.5,22.6,63.3,44.4,6.4
Nakuru,1077272,1084835,95,2162202,99,616046,3.5,2162202,7462.4,290,1.285,52.7,26.8,61.1,52.5,7.1
Narok,579042,578805,26,1157873,100,241125,4.8,1157873,17950.3,65,3.09,34.3,12,59,19.3,3.5
Kajiado,557098,560704,38,1117840,99,316179,3.5,1117840,21871.1,51,3.765,54.6,33.1,55,51.7,10.9
Kericho,450741,451008,28,901777,100,206036,4.4,901777,2436.1,370,0.419,43.4,19,60.3,29.3,4.9
Bomet,434287,441379,23,875689,98,187641,4.7,875689,2530.9,346,0.436,40.9,16.6,62.1,18.5,3.7
Kakamega,897133,970406,40,1867579,92,433207,4.3,1867579,3020,618,0.52,40.9,14.5,62,29.2,3.3
Vihiga,283678,306323,12,590013,93,143365,4.1,590013,563.8,1047,0.097,43.1,14.1,61.6,31.2,3
Bungoma,812146,858389,35,1670570,95,358796,4.6,1670570,3023.9,552,0.521,36.8,13.8,62.1,25.4,3.1
Busia,426252,467401,28,893681,91,198152,4.5,893681,1696.3,527,0.292,38.4,13.5,54.5,27.2,2.9
Siaya,471669,521496,18,993183,90,250698,3.9,993183,2529.8,393,0.436,44.1,14.9,65.5,28.3,2.9
Kisumu,560942,594609,23,1155574,94,300745,3.8,1155574,2085.4,554,0.359,49.4,23.9,65,45.1,5.3
Homa Bay,539560,592367,23,1131950,91,262036,4.3,1131950,3152.5,359,0.543,41.1,15.2,63,26.3,2.6
Migori,536187,580214,35,1116436,92,240168,4.6,1116436,2613.5,427,0.45,37.5,14.3,59.8,28.1,2.9
Kisii,605784,661038,38,1266860,92,308054,4.1,1266860,1323,958,0.228,43.8,16,58.5,30.7,3.4
Nyamira,290907,314656,13,605576,92,150669,4,605576,897.3,675,0.154,45.4,15.9,62.7,30.3,3.4
Nairobi City,2192452,2204376,245,4397073,99,1506888,2.9,4397073,703.9,6247,0.121,69.1,52.4,53.4,68.7,12.9
